Cantidad,70
Numero,X,Y
0,191,21
1,90,492
2,390,479
3,422,15
4,3,279
5,407,438
6,97,447
7,389,459
8,236,459
9,156,22
10,495,96
11,274,21
12,78,191
13,77,21
14,36,199
15,458,291
16,216,262
17,40,39
18,332,218
19,40,382
20,255,402
21,50,271
22,390,155
23,50,480
24,461,1
25,499,8
26,297,290
27,115,357
28,362,41
29,136,160
30,378,100
31,228,418
32,421,287
33,386,244
34,497,349
35,448,165
36,366,126
37,178,475
38,324,365
39,45,196
40,109,480
41,5,446
42,61,366
43,249,334
44,198,369
45,423,480
46,485,278
47,171,229
48,439,363
49,360,287
50,123,384
51,117,455
52,186,392
53,54,228
54,347,162
55,109,74
56,282,306
57,447,200
58,246,356
59,316,0
60,173,360
61,365,414
62,163,115
63,86,183
64,418,12
65,412,40
66,300,428
67,480,266
68,421,5
69,461,495
70,85,105
