Cantidad,70
Numero,X,Y
0,91,498
1,183,213
2,6,23
3,148,128
4,205,228
5,19,94
6,101,248
7,151,69
8,307,259
9,351,326
10,375,370
11,100,21
12,385,28
13,419,3
14,308,56
15,449,123
16,251,282
17,491,215
18,100,50
19,403,349
20,127,234
21,481,315
22,167,397
23,460,190
24,358,59
25,60,162
26,364,24
27,406,313
28,481,345
29,455,343
30,432,452
31,196,38
32,142,147
33,423,420
34,218,479
35,360,271
36,52,37
37,482,401
38,444,489
39,184,278
40,31,416
41,328,153
42,270,48
43,165,375
44,218,481
45,432,104
46,354,91
47,190,89
48,443,139
49,348,287
50,23,437
51,58,279
52,482,321
53,56,247
54,239,493
55,104,205
56,22,1
57,209,344
58,433,250
59,371,467
60,207,133
61,443,273
62,57,294
63,249,344
64,44,223
65,256,56
66,175,448
67,361,489
68,240,123
69,40,91
70,291,394
