Cantidad,70
Numero,X,Y
0,213,310
1,319,202
2,115,109
3,160,496
4,210,27
5,217,220
6,23,59
7,404,83
8,485,344
9,365,320
10,332,402
11,158,360
12,264,462
13,115,410
14,283,387
15,492,214
16,90,393
17,461,72
18,327,295
19,218,394
20,124,317
21,381,91
22,121,378
23,114,184
24,428,494
25,211,345
26,166,159
27,369,463
28,386,315
29,423,338
30,468,280
31,495,367
32,61,361
33,223,213
34,180,373
35,241,439
36,429,87
37,296,139
38,127,399
39,437,96
40,103,152
41,292,353
42,77,364
43,212,158
44,291,398
45,418,128
46,281,316
47,462,26
48,176,445
49,66,241
50,422,139
51,458,269
52,380,104
53,449,229
54,67,267
55,37,288
56,359,425
57,22,28
58,347,355
59,118,384
60,449,472
61,262,412
62,234,212
63,463,90
64,414,53
65,456,385
66,489,422
67,65,201
68,374,141
69,32,197
70,257,213
