Cantidad,70
Numero,X,Y
0,198,375
1,32,240
2,350,61
3,321,422
4,88,491
5,65,191
6,284,39
7,33,435
8,215,14
9,243,63
10,105,415
11,318,349
12,272,493
13,486,366
14,144,89
15,301,202
16,441,222
17,211,186
18,278,336
19,72,4
20,494,300
21,385,54
22,352,375
23,419,151
24,330,289
25,285,386
26,429,103
27,194,289
28,424,383
29,436,424
30,346,8
31,224,190
32,377,432
33,130,212
34,249,239
35,238,452
36,450,68
37,411,21
38,178,274
39,72,156
40,156,162
41,215,423
42,279,121
43,43,46
44,197,81
45,102,253
46,79,127
47,392,487
48,241,329
49,162,250
50,271,28
51,486,21
52,295,192
53,109,167
54,12,414
55,455,187
56,449,3
57,265,427
58,418,434
59,423,163
60,23,218
61,54,316
62,445,87
63,268,397
64,234,138
65,224,280
66,5,47
67,149,117
68,183,498
69,304,450
70,106,208
