Cantidad,70
Numero,X,Y
0,146,493
1,422,499
2,325,202
3,231,195
4,383,90
5,46,449
6,150,403
7,430,6
8,399,177
9,187,378
10,298,178
11,492,425
12,23,207
13,222,431
14,18,289
15,420,475
16,351,16
17,152,367
18,424,238
19,290,406
20,485,133
21,282,366
22,444,197
23,201,153
24,456,425
25,36,416
26,55,359
27,319,130
28,165,103
29,433,488
30,184,467
31,220,30
32,352,208
33,56,25
34,381,248
35,461,46
36,126,410
37,390,324
38,237,424
39,494,340
40,466,19
41,215,271
42,346,169
43,176,348
44,137,112
45,143,406
46,261,356
47,197,273
48,420,224
49,96,12
50,174,447
51,453,180
52,126,171
53,228,161
54,235,16
55,172,20
56,260,473
57,277,51
58,493,189
59,11,450
60,385,379
61,156,257
62,136,88
63,166,41
64,104,205
65,371,40
66,265,238
67,246,97
68,238,337
69,304,225
70,404,65
