Cantidad,70
Numero,X,Y
0,81,318
1,486,81
2,311,393
3,382,84
4,73,404
5,57,62
6,167,25
7,423,58
8,251,254
9,221,491
10,138,167
11,338,168
12,242,24
13,316,316
14,404,59
15,92,218
16,33,253
17,306,47
18,71,176
19,199,314
20,300,81
21,375,306
22,146,478
23,165,455
24,46,40
25,106,258
26,118,131
27,68,109
28,436,65
29,183,367
30,298,161
31,158,89
32,118,374
33,242,150
34,114,463
35,266,372
36,179,496
37,113,480
38,340,11
39,22,370
40,94,81
41,369,408
42,79,421
43,377,408
44,405,88
45,463,380
46,193,466
47,409,190
48,357,68
49,173,460
50,284,135
51,87,101
52,292,358
53,396,489
54,471,304
55,208,186
56,265,310
57,359,380
58,396,217
59,83,296
60,53,497
61,386,267
62,229,76
63,413,468
64,362,2
65,450,83
66,214,375
67,154,186
68,325,469
69,5,341
70,81,85
