Cantidad,70
Numero,X,Y
0,93,177
1,38,156
2,91,435
3,485,388
4,120,167
5,16,498
6,230,221
7,209,363
8,439,297
9,497,347
10,354,401
11,317,259
12,205,397
13,28,387
14,360,79
15,342,295
16,268,144
17,83,217
18,494,278
19,329,90
20,272,315
21,80,155
22,450,56
23,383,347
24,11,269
25,153,234
26,158,60
27,489,447
28,3,147
29,85,51
30,331,285
31,316,58
32,365,185
33,146,464
34,120,247
35,140,63
36,364,291
37,53,79
38,371,99
39,485,43
40,34,138
41,285,440
42,334,254
43,64,82
44,435,111
45,323,327
46,58,78
47,212,6
48,229,282
49,41,56
50,435,77
51,305,270
52,441,372
53,147,443
54,255,287
55,160,294
56,274,51
57,176,344
58,82,15
59,329,439
60,66,178
61,311,183
62,144,77
63,425,241
64,366,80
65,28,177
66,430,448
67,319,152
68,26,113
69,8,437
70,257,298
