Cantidad,70
Numero,X,Y
0,444,409
1,96,107
2,54,198
3,165,266
4,220,496
5,401,482
6,160,292
7,59,276
8,443,344
9,418,452
10,105,151
11,389,413
12,5,457
13,452,181
14,461,327
15,496,399
16,341,107
17,12,128
18,421,189
19,71,196
20,345,147
21,454,236
22,270,139
23,187,255
24,72,19
25,418,10
26,31,499
27,318,275
28,302,107
29,123,93
30,448,477
31,84,448
32,388,226
33,154,324
34,92,145
35,445,134
36,409,467
37,38,97
38,339,76
39,381,461
40,201,190
41,279,36
42,326,354
43,168,47
44,208,434
45,232,415
46,491,0
47,61,175
48,454,208
49,322,432
50,177,100
51,85,12
52,451,65
53,362,126
54,191,2
55,78,112
56,243,140
57,238,127
58,17,41
59,308,64
60,369,311
61,155,360
62,345,288
63,277,290
64,156,202
65,252,294
66,132,65
67,472,412
68,470,151
69,367,14
70,487,151
