Cantidad,70
Numero,X,Y
0,115,27
1,113,453
2,36,264
3,277,199
4,415,135
5,206,199
6,45,258
7,234,5
8,14,457
9,396,451
10,42,261
11,379,440
12,224,22
13,120,190
14,346,128
15,333,114
16,481,324
17,216,38
18,343,369
19,352,368
20,157,334
21,393,402
22,395,190
23,432,309
24,27,319
25,127,347
26,270,131
27,67,460
28,81,411
29,451,211
30,482,204
31,285,495
32,472,128
33,236,336
34,29,160
35,11,260
36,217,175
37,361,27
38,185,361
39,305,207
40,409,42
41,240,199
42,433,161
43,161,209
44,37,67
45,24,220
46,79,119
47,445,291
48,141,237
49,429,231
50,120,379
51,275,114
52,218,318
53,427,430
54,117,68
55,60,218
56,488,163
57,393,408
58,395,330
59,54,152
60,302,296
61,271,386
62,279,322
63,172,78
64,413,268
65,235,357
66,211,333
67,51,396
68,389,20
69,117,153
70,308,82
