Cantidad,70
Numero,X,Y
0,367,477
1,251,259
2,468,55
3,470,499
4,72,61
5,466,489
6,246,360
7,303,237
8,15,472
9,464,429
10,477,407
11,35,272
12,397,361
13,295,427
14,318,111
15,312,103
16,307,18
17,216,370
18,84,348
19,120,462
20,187,52
21,476,470
22,272,50
23,137,389
24,419,401
25,441,145
26,488,140
27,54,81
28,203,35
29,339,202
30,91,159
31,45,295
32,306,215
33,118,337
34,179,131
35,196,286
36,362,132
37,151,215
38,371,156
39,414,103
40,271,275
41,204,431
42,186,85
43,72,159
44,152,56
45,6,270
46,462,240
47,427,136
48,217,51
49,331,415
50,123,37
51,338,252
52,282,408
53,122,415
54,158,203
55,447,451
56,337,421
57,267,13
58,128,437
59,498,36
60,341,167
61,66,189
62,16,264
63,455,318
64,240,265
65,418,165
66,161,397
67,32,234
68,193,441
69,121,422
70,419,399
