Cantidad,70
Numero,X,Y
0,57,30
1,134,413
2,447,380
3,355,24
4,401,201
5,111,107
6,107,221
7,342,182
8,99,0
9,395,426
10,469,183
11,42,50
12,371,375
13,464,444
14,93,386
15,58,250
16,5,66
17,426,357
18,415,242
19,393,149
20,21,305
21,98,258
22,288,65
23,462,437
24,493,209
25,340,382
26,118,496
27,181,69
28,282,319
29,278,457
30,304,191
31,95,344
32,369,140
33,310,20
34,427,372
35,301,462
36,49,13
37,311,416
38,255,372
39,325,484
40,448,265
41,75,236
42,127,137
43,17,127
44,23,231
45,70,343
46,442,129
47,57,452
48,255,427
49,81,335
50,237,265
51,322,156
52,160,416
53,252,179
54,53,337
55,456,59
56,371,53
57,154,3
58,410,221
59,301,338
60,467,151
61,290,400
62,352,184
63,415,301
64,237,350
65,195,424
66,54,256
67,112,489
68,455,230
69,283,216
70,441,174
