Cantidad,70
Numero,X,Y
0,61,458
1,263,54
2,87,346
3,235,409
4,379,186
5,33,411
6,42,314
7,373,194
8,229,224
9,270,28
10,136,268
11,266,84
12,32,127
13,61,46
14,394,353
15,35,87
16,163,363
17,1,474
18,394,276
19,390,13
20,109,407
21,21,78
22,498,151
23,316,492
24,6,208
25,489,377
26,192,187
27,341,243
28,254,498
29,284,369
30,66,200
31,330,92
32,470,329
33,418,363
34,142,428
35,143,145
36,295,338
37,419,211
38,433,186
39,254,365
40,349,147
41,273,465
42,245,142
43,272,355
44,192,53
45,256,164
46,95,158
47,60,23
48,406,252
49,99,225
50,6,467
51,201,76
52,218,49
53,103,41
54,358,487
55,444,374
56,281,295
57,80,295
58,10,284
59,183,174
60,345,43
61,139,133
62,168,299
63,212,499
64,103,245
65,275,103
66,50,335
67,404,282
68,344,68
69,21,85
70,221,92
