Cantidad,70
Numero,X,Y
0,103,187
1,70,404
2,120,155
3,450,395
4,290,143
5,106,414
6,256,318
7,386,466
8,274,83
9,431,231
10,206,320
11,177,465
12,234,277
13,459,398
14,255,63
15,299,499
16,226,306
17,364,386
18,321,14
19,208,376
20,224,152
21,474,195
22,196,445
23,69,346
24,40,86
25,413,94
26,309,301
27,74,166
28,293,377
29,336,98
30,158,158
31,41,125
32,182,324
33,390,9
34,325,270
35,396,290
36,142,64
37,15,95
38,431,212
39,221,29
40,368,86
41,227,453
42,439,436
43,37,369
44,258,427
45,223,274
46,250,186
47,43,431
48,88,387
49,491,324
50,182,153
51,197,266
52,462,379
53,365,254
54,377,499
55,145,332
56,455,247
57,399,157
58,395,182
59,3,463
60,51,254
61,61,15
62,58,418
63,336,441
64,412,356
65,19,341
66,432,452
67,212,144
68,497,450
69,37,342
70,474,76
