Cantidad,70
Numero,X,Y
0,79,281
1,343,170
2,145,43
3,404,173
4,274,276
5,145,367
6,153,240
7,277,422
8,152,37
9,382,363
10,168,270
11,496,417
12,276,443
13,248,81
14,178,403
15,348,423
16,339,473
17,495,389
18,9,485
19,235,414
20,476,384
21,481,478
22,375,245
23,238,46
24,113,405
25,309,18
26,0,425
27,260,435
28,42,6
29,404,357
30,163,157
31,333,127
32,351,462
33,187,245
34,72,99
35,132,13
36,195,284
37,150,310
38,364,249
39,314,377
40,95,89
41,226,407
42,123,375
43,489,226
44,200,40
45,183,73
46,1,369
47,53,306
48,384,94
49,71,379
50,111,269
51,384,280
52,208,207
53,262,200
54,167,314
55,399,23
56,259,376
57,136,277
58,364,471
59,114,452
60,205,474
61,131,326
62,212,106
63,463,158
64,296,290
65,405,329
66,372,394
67,388,145
68,486,442
69,233,468
70,353,447
