Cantidad,70
Numero,X,Y
0,214,309
1,100,473
2,480,323
3,30,73
4,350,27
5,294,325
6,374,320
7,123,227
8,102,268
9,476,107
10,190,496
11,248,378
12,239,115
13,149,376
14,154,379
15,198,464
16,196,351
17,282,87
18,202,271
19,479,114
20,123,331
21,144,402
22,279,320
23,28,369
24,373,375
25,477,427
26,276,83
27,204,434
28,121,210
29,133,205
30,144,25
31,215,369
32,132,368
33,155,203
34,171,91
35,310,7
36,109,283
37,392,33
38,385,231
39,430,208
40,450,43
41,464,142
42,488,445
43,208,494
44,456,330
45,41,460
46,351,285
47,442,466
48,128,314
49,121,362
50,23,133
51,214,259
52,430,75
53,122,441
54,345,393
55,168,375
56,312,58
57,154,222
58,352,498
59,400,282
60,299,98
61,303,133
62,187,149
63,474,488
64,123,123
65,344,34
66,110,485
67,84,261
68,154,67
69,487,461
70,179,266
