Cantidad,70
Numero,X,Y
0,75,119
1,182,283
2,209,33
3,93,313
4,387,215
5,492,258
6,394,483
7,28,202
8,492,78
9,358,281
10,285,297
11,262,58
12,439,167
13,326,274
14,168,466
15,397,86
16,138,466
17,343,65
18,129,6
19,154,98
20,92,491
21,230,442
22,8,343
23,326,162
24,54,123
25,89,17
26,381,252
27,353,462
28,348,229
29,96,351
30,143,457
31,424,233
32,433,229
33,262,75
34,231,153
35,218,202
36,117,459
37,242,400
38,232,447
39,149,103
40,433,80
41,316,180
42,59,328
43,338,283
44,131,0
45,93,130
46,143,21
47,179,343
48,96,11
49,419,137
50,403,141
51,315,151
52,209,6
53,482,322
54,231,453
55,436,231
56,188,105
57,282,250
58,187,185
59,274,9
60,450,3
61,185,354
62,445,317
63,250,265
64,387,71
65,167,432
66,335,342
67,84,426
68,77,337
69,237,255
70,57,362
