Cantidad,70
Numero,X,Y
0,497,378
1,102,237
2,439,39
3,71,133
4,223,171
5,220,365
6,283,430
7,457,267
8,442,176
9,382,372
10,52,360
11,27,495
12,48,106
13,243,232
14,426,437
15,39,332
16,238,345
17,117,292
18,349,270
19,133,131
20,225,462
21,121,140
22,391,328
23,392,48
24,262,334
25,240,283
26,138,277
27,445,211
28,432,149
29,102,70
30,175,445
31,85,37
32,204,191
33,328,225
34,490,153
35,461,28
36,374,286
37,294,218
38,215,281
39,482,339
40,120,373
41,491,66
42,135,162
43,384,122
44,251,483
45,335,299
46,116,277
47,269,424
48,13,91
49,384,462
50,198,65
51,257,199
52,41,324
53,61,469
54,455,40
55,418,71
56,243,168
57,102,370
58,194,373
59,109,20
60,454,260
61,114,259
62,411,360
63,476,234
64,231,492
65,453,264
66,168,295
67,224,453
68,374,135
69,258,335
70,159,292
