Cantidad,70
Numero,X,Y
0,405,204
1,328,286
2,416,266
3,40,352
4,258,234
5,333,139
6,191,57
7,98,171
8,160,376
9,336,240
10,435,292
11,167,16
12,115,373
13,434,67
14,322,179
15,72,198
16,241,182
17,360,88
18,214,229
19,294,438
20,299,0
21,79,347
22,149,189
23,237,403
24,22,494
25,145,137
26,156,102
27,396,128
28,279,415
29,428,60
30,97,47
31,421,498
32,86,161
33,286,487
34,154,477
35,470,119
36,320,57
37,82,27
38,283,158
39,383,367
40,28,218
41,272,228
42,493,13
43,47,26
44,314,235
45,393,299
46,453,268
47,478,469
48,250,283
49,294,411
50,348,378
51,418,318
52,248,122
53,272,489
54,487,99
55,288,166
56,349,172
57,276,386
58,443,436
59,438,304
60,421,395
61,66,394
62,31,255
63,278,267
64,189,216
65,20,340
66,202,276
67,304,259
68,219,426
69,463,135
70,78,226
