Cantidad,70
Numero,X,Y
0,178,394
1,397,458
2,191,27
3,107,358
4,87,21
5,150,470
6,260,133
7,465,417
8,185,58
9,328,235
10,365,403
11,445,205
12,365,311
13,417,430
14,47,294
15,112,298
16,465,353
17,97,149
18,418,149
19,341,307
20,126,435
21,249,361
22,388,62
23,302,186
24,272,241
25,24,418
26,360,1
27,143,348
28,352,313
29,87,410
30,301,11
31,237,282
32,29,41
33,235,49
34,238,22
35,325,391
36,13,245
37,456,147
38,213,30
39,290,284
40,131,105
41,297,474
42,186,341
43,99,449
44,279,492
45,22,277
46,348,70
47,232,149
48,191,19
49,150,90
50,103,251
51,29,287
52,2,177
53,407,340
54,338,354
55,316,25
56,486,356
57,5,424
58,411,448
59,457,131
60,390,315
61,405,348
62,422,311
63,330,190
64,0,190
65,453,268
66,489,230
67,47,61
68,410,406
69,100,1
70,266,315
