Cantidad,70
Numero,X,Y
0,24,301
1,456,358
2,434,74
3,290,247
4,256,289
5,185,195
6,264,291
7,239,256
8,331,23
9,453,450
10,30,47
11,252,400
12,128,249
13,394,415
14,266,252
15,185,235
16,57,136
17,56,270
18,246,283
19,5,181
20,121,172
21,385,197
22,162,115
23,253,126
24,435,70
25,312,16
26,438,20
27,90,341
28,252,416
29,122,341
30,444,258
31,158,325
32,302,171
33,432,80
34,109,394
35,277,330
36,410,455
37,442,449
38,253,44
39,58,265
40,200,264
41,78,195
42,291,178
43,40,43
44,150,244
45,107,56
46,240,299
47,104,306
48,228,202
49,101,474
50,88,415
51,353,283
52,146,329
53,263,146
54,378,86
55,445,192
56,66,284
57,218,36
58,80,151
59,143,60
60,128,173
61,101,240
62,83,136
63,175,478
64,350,385
65,415,248
66,405,160
67,367,466
68,264,105
69,455,310
70,431,290
