Cantidad,70
Numero,X,Y
0,67,53
1,429,247
2,403,179
3,28,164
4,59,39
5,258,175
6,264,96
7,106,369
8,458,444
9,84,227
10,487,276
11,132,185
12,270,468
13,481,426
14,104,140
15,265,18
16,418,380
17,41,187
18,40,226
19,169,214
20,183,23
21,335,148
22,19,368
23,272,446
24,408,7
25,258,486
26,245,183
27,193,195
28,363,116
29,407,433
30,350,25
31,262,200
32,162,399
33,61,82
34,260,6
35,128,406
36,257,197
37,167,462
38,105,322
39,401,495
40,264,115
41,458,221
42,287,206
43,365,185
44,75,469
45,25,435
46,51,362
47,420,215
48,462,5
49,197,253
50,327,171
51,489,480
52,205,73
53,336,88
54,185,50
55,27,164
56,496,243
57,418,326
58,491,118
59,203,316
60,245,483
61,440,415
62,401,42
63,273,193
64,404,129
65,101,488
66,34,205
67,183,114
68,380,461
69,378,291
70,498,122
