Cantidad,70
Numero,X,Y
0,314,218
1,495,412
2,436,438
3,435,304
4,10,281
5,453,394
6,77,351
7,286,399
8,469,469
9,331,343
10,129,190
11,341,371
12,91,191
13,207,29
14,400,290
15,139,179
16,431,61
17,217,67
18,5,455
19,227,393
20,225,464
21,49,299
22,390,63
23,209,451
24,317,38
25,229,415
26,476,353
27,177,173
28,107,298
29,460,17
30,367,145
31,87,160
32,304,178
33,144,473
34,106,38
35,221,360
36,260,268
37,441,397
38,141,332
39,102,451
40,411,90
41,464,264
42,256,25
43,251,130
44,492,417
45,450,165
46,354,249
47,397,329
48,356,293
49,77,415
50,464,428
51,143,135
52,353,256
53,466,185
54,199,136
55,422,3
56,273,129
57,431,456
58,30,60
59,342,494
60,423,352
61,208,483
62,151,391
63,277,256
64,110,236
65,300,207
66,158,492
67,258,157
68,239,196
69,322,247
70,37,183
