Cantidad,70
Numero,X,Y
0,331,183
1,161,420
2,26,433
3,238,445
4,206,466
5,420,256
6,110,60
7,312,327
8,150,80
9,247,244
10,426,116
11,124,132
12,253,103
13,222,62
14,226,139
15,112,171
16,426,236
17,420,434
18,84,338
19,51,212
20,258,298
21,337,226
22,249,294
23,484,8
24,320,44
25,217,1
26,89,369
27,158,119
28,100,438
29,445,125
30,189,384
31,414,39
32,487,79
33,422,272
34,364,471
35,4,143
36,72,218
37,128,130
38,340,476
39,278,168
40,129,217
41,338,350
42,118,88
43,450,402
44,50,215
45,499,28
46,35,480
47,443,362
48,283,96
49,417,414
50,150,213
51,348,298
52,422,379
53,176,114
54,119,425
55,410,208
56,472,467
57,392,131
58,115,28
59,475,11
60,340,121
61,132,303
62,46,446
63,63,482
64,68,198
65,422,101
66,213,420
67,67,357
68,139,164
69,349,32
70,455,326
