Cantidad,70
Numero,X,Y
0,445,64
1,48,359
2,433,239
3,85,102
4,173,436
5,320,183
6,85,291
7,419,408
8,229,332
9,482,488
10,208,214
11,379,468
12,212,53
13,129,107
14,390,456
15,48,477
16,171,382
17,355,325
18,62,80
19,229,332
20,445,206
21,214,313
22,334,296
23,438,75
24,272,296
25,72,234
26,310,381
27,49,175
28,482,251
29,12,382
30,331,211
31,387,299
32,94,311
33,168,467
34,92,431
35,15,261
36,392,217
37,137,52
38,481,194
39,340,403
40,268,272
41,242,438
42,38,318
43,208,161
44,413,148
45,393,253
46,466,246
47,438,161
48,444,398
49,437,463
50,360,40
51,58,128
52,158,264
53,330,83
54,357,204
55,429,339
56,138,308
57,203,425
58,178,3
59,350,286
60,371,129
61,205,6
62,349,116
63,407,51
64,486,256
65,423,344
66,354,76
67,197,140
68,273,452
69,272,466
70,334,24
