Cantidad,70
Numero,X,Y
0,179,158
1,358,194
2,264,445
3,124,458
4,69,139
5,333,420
6,264,141
7,194,177
8,497,115
9,270,303
10,62,461
11,344,385
12,370,334
13,482,203
14,215,358
15,341,377
16,61,250
17,111,75
18,86,255
19,406,46
20,437,251
21,99,309
22,332,445
23,97,458
24,332,13
25,198,119
26,18,360
27,469,287
28,75,412
29,485,6
30,69,148
31,163,85
32,123,79
33,146,302
34,48,248
35,316,265
36,448,57
37,27,43
38,174,350
39,168,248
40,499,476
41,407,166
42,9,283
43,286,305
44,211,317
45,172,499
46,470,153
47,377,102
48,273,380
49,52,167
50,180,94
51,415,188
52,454,199
53,81,268
54,249,323
55,152,376
56,132,13
57,423,455
58,77,204
59,404,394
60,137,285
61,133,139
62,27,117
63,135,43
64,325,290
65,163,237
66,38,240
67,37,237
68,147,136
69,0,252
70,213,314
