Cantidad,70
Numero,X,Y
0,289,211
1,390,172
2,153,195
3,204,469
4,245,407
5,295,43
6,106,376
7,333,218
8,41,234
9,156,382
10,421,437
11,419,499
12,458,282
13,232,85
14,175,448
15,236,105
16,366,267
17,399,312
18,173,404
19,490,71
20,446,188
21,404,213
22,320,189
23,428,73
24,472,116
25,380,147
26,281,78
27,197,103
28,14,316
29,261,127
30,439,383
31,494,492
32,400,406
33,8,116
34,35,492
35,198,307
36,461,301
37,119,485
38,56,458
39,30,2
40,179,73
41,83,314
42,447,206
43,494,425
44,428,275
45,47,7
46,264,385
47,11,363
48,17,78
49,254,395
50,147,337
51,41,90
52,313,111
53,129,458
54,407,34
55,299,410
56,330,183
57,109,258
58,149,81
59,188,168
60,53,6
61,200,204
62,216,415
63,95,406
64,309,431
65,269,415
66,334,26
67,139,35
68,130,321
69,174,88
70,33,158
