Cantidad,70
Numero,X,Y
0,317,484
1,470,467
2,11,212
3,452,312
4,386,4
5,232,95
6,246,53
7,480,495
8,111,300
9,140,444
10,81,424
11,159,396
12,173,83
13,34,221
14,424,189
15,326,463
16,367,191
17,135,156
18,219,195
19,116,425
20,168,328
21,107,229
22,169,177
23,280,27
24,202,57
25,485,419
26,95,496
27,343,100
28,418,30
29,157,460
30,118,141
31,421,447
32,316,204
33,237,212
34,371,473
35,79,434
36,327,42
37,53,34
38,195,83
39,64,156
40,296,240
41,17,100
42,58,50
43,379,467
44,338,6
45,166,344
46,192,427
47,429,36
48,363,126
49,173,102
50,286,286
51,453,367
52,245,250
53,121,45
54,272,234
55,145,10
56,452,58
57,449,292
58,381,115
59,127,407
60,138,427
61,44,47
62,385,359
63,184,444
64,149,212
65,26,301
66,117,350
67,331,97
68,57,226
69,239,31
70,222,4
