Cantidad,70
Numero,X,Y
0,302,115
1,388,397
2,102,415
3,1,167
4,210,303
5,360,84
6,235,218
7,324,462
8,439,215
9,243,100
10,286,344
11,141,133
12,333,28
13,156,448
14,316,485
15,199,321
16,164,146
17,405,91
18,202,148
19,120,5
20,63,154
21,7,461
22,236,275
23,122,4
24,320,39
25,327,343
26,341,184
27,317,214
28,273,443
29,337,236
30,248,220
31,59,363
32,103,141
33,294,174
34,374,441
35,375,481
36,158,207
37,69,237
38,229,303
39,207,138
40,486,169
41,58,280
42,126,202
43,356,316
44,352,471
45,449,381
46,491,25
47,46,129
48,261,309
49,464,330
50,393,20
51,240,181
52,350,286
53,130,344
54,138,354
55,403,413
56,116,376
57,31,73
58,125,302
59,293,59
60,0,451
61,70,10
62,123,170
63,318,1
64,36,146
65,74,449
66,364,298
67,398,406
68,307,113
69,75,77
70,356,157
