Cantidad,70
Numero,X,Y
0,100,292
1,287,200
2,409,53
3,153,149
4,337,413
5,290,314
6,154,61
7,446,236
8,356,1
9,3,194
10,305,353
11,113,394
12,242,416
13,129,65
14,379,304
15,118,90
16,68,279
17,492,466
18,442,365
19,341,134
20,148,269
21,3,88
22,437,231
23,175,33
24,448,144
25,454,414
26,52,412
27,394,441
28,297,18
29,208,428
30,249,304
31,268,200
32,480,279
33,313,207
34,413,30
35,78,310
36,259,231
37,228,305
38,1,54
39,339,344
40,348,420
41,363,366
42,286,414
43,73,329
44,316,203
45,309,114
46,29,5
47,149,150
48,114,329
49,0,461
50,477,2
51,497,279
52,356,57
53,15,430
54,431,58
55,172,247
56,272,398
57,300,325
58,306,160
59,187,311
60,366,247
61,50,148
62,115,215
63,495,466
64,136,484
65,404,462
66,336,287
67,266,412
68,104,387
69,288,3
70,264,206
