Cantidad,70
Numero,X,Y
0,380,114
1,186,460
2,141,135
3,436,9
4,433,120
5,171,52
6,397,326
7,156,16
8,214,245
9,414,139
10,366,193
11,12,142
12,178,396
13,402,421
14,345,190
15,72,292
16,295,5
17,461,51
18,264,214
19,425,466
20,383,182
21,331,357
22,170,201
23,447,353
24,244,392
25,234,215
26,484,188
27,253,186
28,89,55
29,75,415
30,44,100
31,381,291
32,17,226
33,227,431
34,322,467
35,135,428
36,103,271
37,65,130
38,436,322
39,161,496
40,21,418
41,205,100
42,38,328
43,264,433
44,454,313
45,110,262
46,202,150
47,470,281
48,171,427
49,77,139
50,305,276
51,19,355
52,104,267
53,399,427
54,26,290
55,346,390
56,77,178
57,123,327
58,389,198
59,332,111
60,368,298
61,95,70
62,386,136
63,114,99
64,116,489
65,453,409
66,281,25
67,361,286
68,414,78
69,342,220
70,100,231
