Cantidad,70
Numero,X,Y
0,399,107
1,380,174
2,243,97
3,379,169
4,297,176
5,441,339
6,188,222
7,470,327
8,476,26
9,451,23
10,317,456
11,260,417
12,485,241
13,399,382
14,374,383
15,397,266
16,134,350
17,143,103
18,302,22
19,25,2
20,203,84
21,406,86
22,394,436
23,387,149
24,224,80
25,263,118
26,160,159
27,65,420
28,446,157
29,307,13
30,77,64
31,67,428
32,171,164
33,205,418
34,24,199
35,98,139
36,97,387
37,112,93
38,233,64
39,7,325
40,214,257
41,401,202
42,184,486
43,142,439
44,51,228
45,432,321
46,60,126
47,404,71
48,482,80
49,55,165
50,168,31
51,68,17
52,14,105
53,458,420
54,457,491
55,232,127
56,67,256
57,83,7
58,191,169
59,211,208
60,366,242
61,3,109
62,39,80
63,200,34
64,333,200
65,385,254
66,406,388
67,159,119
68,160,413
69,35,301
70,256,418
