Cantidad,70
Numero,X,Y
0,221,165
1,464,472
2,447,267
3,46,475
4,157,52
5,185,51
6,218,464
7,210,324
8,135,86
9,108,405
10,405,373
11,300,99
12,159,397
13,125,141
14,242,430
15,297,281
16,351,203
17,96,482
18,449,363
19,258,213
20,37,169
21,161,271
22,353,453
23,86,309
24,424,485
25,223,82
26,165,457
27,89,490
28,165,26
29,437,348
30,217,19
31,119,104
32,452,443
33,240,127
34,174,92
35,295,328
36,75,306
37,55,368
38,218,66
39,257,387
40,254,260
41,103,97
42,2,472
43,196,100
44,426,492
45,285,202
46,387,341
47,275,238
48,84,218
49,209,349
50,77,234
51,102,313
52,247,411
53,77,33
54,324,270
55,476,221
56,367,227
57,114,452
58,272,159
59,114,346
60,176,209
61,175,120
62,64,151
63,305,337
64,496,481
65,413,378
66,189,125
67,497,266
68,270,145
69,310,433
70,459,479
