Cantidad,70
Numero,X,Y
0,436,466
1,104,456
2,435,120
3,353,394
4,151,126
5,120,375
6,496,118
7,339,213
8,288,275
9,386,321
10,433,58
11,243,82
12,293,144
13,447,487
14,112,194
15,390,69
16,158,155
17,251,433
18,487,376
19,117,64
20,51,152
21,419,134
22,165,466
23,54,247
24,76,45
25,498,317
26,241,93
27,256,166
28,202,311
29,395,410
30,116,261
31,43,110
32,262,118
33,144,183
34,306,207
35,384,189
36,152,320
37,265,233
38,103,37
39,347,415
40,37,104
41,401,229
42,378,380
43,434,380
44,90,85
45,12,387
46,33,414
47,73,243
48,6,31
49,457,301
50,247,83
51,461,413
52,199,6
53,480,154
54,164,201
55,469,437
56,450,25
57,178,425
58,204,224
59,205,389
60,435,119
61,190,280
62,227,448
63,52,151
64,227,488
65,98,456
66,354,461
67,274,406
68,188,476
69,369,473
70,333,296
