Cantidad,70
Numero,X,Y
0,495,271
1,183,74
2,390,303
3,156,47
4,304,78
5,256,107
6,229,356
7,306,236
8,275,434
9,45,85
10,278,36
11,285,165
12,492,289
13,475,348
14,454,255
15,60,457
16,474,224
17,13,409
18,48,371
19,217,313
20,176,219
21,19,87
22,365,124
23,199,493
24,134,494
25,375,211
26,357,203
27,315,341
28,472,381
29,220,381
30,139,155
31,113,321
32,139,450
33,309,338
34,315,315
35,129,127
36,417,229
37,314,31
38,118,2
39,50,229
40,39,441
41,457,407
42,431,299
43,360,472
44,354,269
45,276,390
46,97,44
47,95,348
48,276,442
49,398,418
50,46,63
51,32,83
52,27,116
53,153,201
54,66,85
55,66,403
56,273,427
57,311,424
58,314,309
59,29,118
60,9,172
61,98,54
62,238,186
63,451,447
64,140,65
65,439,375
66,201,451
67,400,341
68,31,256
69,273,381
70,334,6
