Cantidad,70
Numero,X,Y
0,335,288
1,273,412
2,266,379
3,213,167
4,265,226
5,378,133
6,411,242
7,289,108
8,485,168
9,229,493
10,428,63
11,422,293
12,63,220
13,173,314
14,247,346
15,10,314
16,31,491
17,269,435
18,415,453
19,160,122
20,162,383
21,41,151
22,156,122
23,488,44
24,377,383
25,143,327
26,423,88
27,255,118
28,4,356
29,391,475
30,394,141
31,376,193
32,330,475
33,349,497
34,189,342
35,19,187
36,447,31
37,313,338
38,241,451
39,480,198
40,33,417
41,57,28
42,477,295
43,459,187
44,184,196
45,5,31
46,320,93
47,407,356
48,280,181
49,336,218
50,297,299
51,123,143
52,375,23
53,149,439
54,288,446
55,217,464
56,496,423
57,226,293
58,72,177
59,466,251
60,488,1
61,247,227
62,29,88
63,368,490
64,478,491
65,102,64
66,43,377
67,348,88
68,362,412
69,397,391
70,121,408
