Cantidad,70
Numero,X,Y
0,303,126
1,48,406
2,36,366
3,450,103
4,51,415
5,222,494
6,277,18
7,407,499
8,327,418
9,384,284
10,146,485
11,38,162
12,19,229
13,406,313
14,419,300
15,295,389
16,312,363
17,165,486
18,183,111
19,28,36
20,312,498
21,329,427
22,458,81
23,487,87
24,352,227
25,229,254
26,476,336
27,239,65
28,73,360
29,28,113
30,126,195
31,217,2
32,172,473
33,374,255
34,334,273
35,376,194
36,401,479
37,212,14
38,138,104
39,153,57
40,474,385
41,152,400
42,367,131
43,316,450
44,46,58
45,106,200
46,305,312
47,190,129
48,374,263
49,92,365
50,23,291
51,174,137
52,121,246
53,255,100
54,485,156
55,260,290
56,449,341
57,195,135
58,260,224
59,62,375
60,332,220
61,4,357
62,162,359
63,194,371
64,374,312
65,157,324
66,388,497
67,165,400
68,286,228
69,355,347
70,5,222
